GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tp2,edu.fiuba.algo3.repositories,JsonMapRepository,27,396,3,41,7,83,3,26,0,6
tp2,edu.fiuba.algo3.repositories,JsonEnemyRepository,17,231,2,15,5,52,2,14,0,6
tp2,edu.fiuba.algo3.modelo,TorreBlanca,0,18,0,0,0,6,0,1,0,1
tp2,edu.fiuba.algo3.modelo,Turno,7,0,0,0,4,0,2,0,2,0
tp2,edu.fiuba.algo3.modelo,Pasarela,0,41,0,4,0,12,0,6,0,4
tp2,edu.fiuba.algo3.modelo,Tierra,0,27,0,2,0,10,0,4,0,3
tp2,edu.fiuba.algo3.modelo,Topo,2,77,1,5,1,19,2,5,1,3
tp2,edu.fiuba.algo3.modelo,Torre,61,61,15,5,14,18,13,11,5,9
tp2,edu.fiuba.algo3.modelo,ParcelaInvalida,0,4,0,0,0,2,0,1,0,1
tp2,edu.fiuba.algo3.modelo,VolarRecto,11,0,0,0,5,0,2,0,2,0
tp2,edu.fiuba.algo3.modelo,Arania,0,28,0,0,0,8,0,2,0,2
tp2,edu.fiuba.algo3.modelo,Message,0,9,0,0,0,3,0,2,0,2
tp2,edu.fiuba.algo3.modelo,Parcela,3,114,3,13,1,32,3,16,0,11
tp2,edu.fiuba.algo3.modelo,Enemigo,0,39,0,4,0,10,0,8,0,6
tp2,edu.fiuba.algo3.modelo,TorrePlateada,0,18,0,0,0,6,0,1,0,1
tp2,edu.fiuba.algo3.modelo,Juego,2,64,3,3,0,13,3,4,0,4
tp2,edu.fiuba.algo3.modelo,CaminarSobrePasarela,4,30,0,2,2,8,1,3,1,2
tp2,edu.fiuba.algo3.modelo,Hormiga,5,51,3,3,2,14,3,4,0,4
tp2,edu.fiuba.algo3.modelo,Rango,0,54,0,8,0,9,0,6,0,2
tp2,edu.fiuba.algo3.modelo,Mapa,15,193,10,24,4,37,11,17,1,10
tp2,edu.fiuba.algo3.modelo,FormatoJSONInvalido,4,0,0,0,2,0,1,0,1,0
tp2,edu.fiuba.algo3.modelo,Lechuza,23,22,2,0,6,7,3,1,2,1
tp2,edu.fiuba.algo3.modelo,CreditosInsuficientes,4,0,0,0,2,0,1,0,1,0
tp2,edu.fiuba.algo3.modelo,Roca,0,12,0,0,0,5,0,3,0,3
tp2,edu.fiuba.algo3.modelo,Posicion,13,58,1,5,1,13,2,8,1,6
tp2,edu.fiuba.algo3.modelo,Jugador,40,67,9,3,9,19,8,9,3,8
tp2,edu.fiuba.algo3.modelo,VolarEnL,63,23,4,2,13,7,3,3,1,2
tp2,edu.fiuba.algo3.modelo,Localize,0,19,0,2,0,7,0,3,0,2
tp2,edu.fiuba.algo3.modelo,JSONVacio,4,0,0,0,2,0,1,0,1,0
tp2,edu.fiuba.algo3,Main,6,0,0,0,3,0,2,0,2,0
tp2,edu.fiuba.algo3,SystemInfo,9,0,0,0,3,0,3,0,3,0
tp2,edu.fiuba.algo3,App,39,0,0,0,10,0,3,0,3,0
